diff: 0.025,ignore: <eos>,text: test
(,the,6
certain,EOS,1
which,the,12
unknown,",",1
any,and,5
he,",",9
myths,of,2
a,of,21
vehicle,and,1
greek,and,3
mythology,the,1
examples,the,1
genius,the,1
parable,EOS,1
concrete,the,1
thus,",",2
vii,EOS,1
book,the,1
mankind,the,1
this,the,3
admitted,the,1
be,",",17
quarrelled,EOS,1
well,and,1
nostrums,EOS,1
if,and,2
only,the,4
cutting,",",1
head,",",1
day,the,1
to,the,32
critias,and,1
timaeus,",",1
another,.,1
words,EOS,1
when,the,4
rhetorical,.,1
reciting,.,1
attention,and,1
distracted,",",1
audience,EOS,1
nor,EOS,2
reader,of,1
extraordinary,the,1
narrative,and,1
went,of,2
to,of,17
talked,and,1
polemarchus,and,1
is,the,21
cushioned,and,1
for,",",7
something,",",1
socrates,",",2
but,the,6
they,",",9
themistocles,the,1
replied,of,2
neither,of,2
if,the,6
been,the,5
i,",",2
had,the,3
famous,the,1
i,of,3
reply,the,1
neither,the,1
man,of,2
happy,and,1
bad,and,1
man,",",1
',the,14
when,.,1
belief,the,1
upon,",",1
justice,of,1
been,and,2
unspeakable,the,1
blessings,the,1
what,and,3
good,and,3
justice,the,1
thief,EOS,1
though,and,1
like,.,2
homeric,of,1
hero,EOS,1
who,",",11
perjury,of,1
--,and,3
such,.,1
you,the,6
brought,the,1
thieving,.,1
good,.,4
friends,the,1
seeming,",",1
enemies,of,1
or,the,6
final,the,1
no,of,3
sage,",",1
just,the,1
maxim,of,1
mighty,the,1
periander,the,1
about,and,1
b.c,the,1
poet,.,1
being,the,1
spirit,of,1
stirred,of,1
'if,and,1
i,.,1
punishest,the,1
by,the,6
evil,and,1
difference,and,1
?,the,5
passing,",",1
antiquity,",",1
only,of,3
arises,and,1
particular,of,1
fundamental,of,1
'interrogation,and,1
appeal,the,1
homer,",",1
enemies,.,1
very,",",2
says,.,1
'what,",",1
folly,EOS,1
?,of,3
do,of,1
agree,and,1
vanquished,",",1
might,the,1
what,the,3
follows,of,1
his,EOS,4
may,the,5
inevitable,",",1
conclusion,of,1
you,of,3
own,the,1
interest,",",1
sheep,",",1
truth,the,2
use,of,2
sheep,the,1
subjects,.,2
wickedness,and,1
needed,of,1
action,.,1
possible,of,1
there,of,3
no,",",1
we,",",7
every,and,2
end,the,2
accomplished,",",1
arts,of,1
void,the,1
arts,.,1
not,and,7
perceived,of,1
by,of,5
to,",",18
next,",",1
;,the,18
least,of,1
supplied,of,1
after,the,2
analysis,EOS,1
them,the,7
distinction,EOS,1
aristotle,and,1
concerned,EOS,1
necessarily,the,1
made,of,1
but,and,3
only,.,3
harmed,and,1
aim,of,1
real,and,1
strive,the,1
do,the,4
do,EOS,2
skill,of,1
reconcilement,EOS,1
are,of,8
also,of,5
insists,the,1
socrates,of,2
this,EOS,3
all,of,3
had,EOS,3
omitted,the,1
:,of,1
taught,EOS,1
for,EOS,2
parents,the,1
and,the,41
offices,the,1
speak,",",1
fair,the,1
posterity,the,1
generation,.,1
.,",",24
i,EOS,2
me,and,1
fox,the,1
rhetoric,",",1
will,the,8
they,the,11
can,EOS,2
not,the,10
how,the,1
even,the,2
part,.,1
virtue,the,2
save,of,1
praises,of,2
this,of,5
sort,and,1
represent,the,1
based,and,1
on,",",4
law,the,2
capable,the,1
perversion,and,1
origin,the,1
sought,.,1
feelings,",",1
neither,EOS,1
stoical,.,1
ideal,",",2
true,of,1
serve,the,1
basis,.,1
exhibiting,",",1
interrogation,of,1
their,the,6
condemnation,.,1
they,and,4
anticipate,of,1
him,of,4
illustration,the,1
society,EOS,1
state,and,2
proceed,of,1
individual,and,1
--,",",5
favourable,.,1
need,the,1
society,the,1
wants,",",1
all,",",2
four,of,1
five,.,1
yet,of,2
large,EOS,1
see,the,1
state,the,3
possibly,and,1
find,EOS,1
will,of,7
painters,EOS,1
neatherds,the,1
too,of,1
disorders,.,1
source,the,1
all,and,1
part,EOS,1
our,EOS,1
ours,of,1
art,the,3
natural,.,1
but,of,2
another,",",2
friends,of,1
against,",",3
shall,.,3
?,and,2
very,the,1
see,of,2
homer,and,1
lies,",",1
saturn,the,1
immoral,of,1
never,EOS,2
persons,.,1
or,",",5
at,EOS,2
sacrifice,",",1
unprocurable,the,1
our,",",2
fathers,EOS,1
incited,of,1
quarrel,",",1
representations,",",1
evil,",",1
author,",",1
allow,of,1
utter,the,1
some,the,3
may,",",5
form,",",1
true,EOS,2
absolutely,.,1
by,EOS,4
or,and,8
sign,of,1
indulges,",",1
idea,of,1
which,",",10
imagination,",",1
seriously,.,1
say,",",1
nor,the,2
description,the,1
saying,and,1
children,.,1
must,.,1
medium,and,1
imagination,.,1
as,of,2
much,EOS,2
learn,EOS,1
understanding,",",1
drawn,.,1
somewhat,and,1
differently,",",1
respecting,of,1
plato,.,2
question,EOS,1
whether,of,2
an,the,3
historical,and,1
religions,EOS,1
first,.,1
afterwards,and,1
documents,.,1
they,of,7
are,and,6
them,of,3
we,the,4
too,.,1
some,.,3
refused,of,1
religion,",",1
superhuman,the,1
was,and,2
every,",",1
record,EOS,1
zeus,the,1
homer,EOS,1
passed,the,2
'royal,",",1
e.g,",",1
god,",",1
true,and,2
appearing,of,1
sometimes,.,1
false,the,2
must,",",3
equally,the,2
sons,the,1
sons,and,1
were,the,5
authors,and,1
you,EOS,4
throw,of,1
into,the,3
'oratio,",",1
passage,of,1
achaeans,",",1
have,EOS,2
return,of,1
if,.,2
give,",",1
his,the,5
greeks,the,1
agamemnon,",",1
only,",",1
left,and,1
if,of,2
narrative,",",1
becomes,the,1
you,and,2
admitted,and,1
whether,the,1
at,the,8
men,",",1
play,",",1
women,.,1
boasting,EOS,1
one,of,3
lamentation,the,1
now,of,3
harmonies,the,2
banish,the,1
convivial,EOS,1
pure,of,1
lyre,",",1
we,and,1
conform,of,1
style,and,1
harmony,the,1
reflected,",",1
conform,the,1
simplicity,of,1
may,EOS,1
daughter,",",1
temperance,",",2
utterly,the,1
madness,",",1
guardians,of,1
must,EOS,1
abstain,EOS,1
from,",",4
for,the,5
be,of,8
confections,and,1
are,",",7
ionian,the,1
been,",",3
sons,.,1
asclepius,of,1
blame,the,1
drink,of,2
truth,EOS,1
system,",",1
diseases,EOS,1
herodicus,",",1
compound,of,1
medicine,",",2
then,of,1
than,",",2
he,of,11
right,the,1
health,the,1
inconsistent,and,1
an,and,3
phocylides,.,1
pindar,and,1
asclepius,",",1
--,the,3
old,of,1
judge,of,1
therefore,the,1
mind,.,2
should,of,5
suspicious,of,1
when,",",4
men,and,2
himself,the,2
need,",",1
greatly,of,1
diminished,and,1
music,.,1
will,",",5
gymnastic,of,2
give,of,1
(,of,4
perhaps,the,4
term,of,1
select,of,1
',of,7
your,.,1
habits,",",1
dwellings,.,1
education,",",1
under,.,1
it,the,3
thing,of,1
transferred,",",1
music,",",1
language,the,3
obscure,of,1
there,EOS,1
proportion,",",1
half-expressed,of,1
any,the,3
collocation,EOS,1
remote,and,1
sequence,of,1
ideas,of,2
admitted,.,1
no,.,3
'coming,EOS,1
there,and,3
could,",",1
beauty,",",1
without,EOS,1
ease,",",1
some,",",1
writers,the,1
felt,and,1
remarkable,the,1
coincide,",",1
almost,EOS,1
silence,EOS,1
laws,.,1
estimate,",",1
good,of,3
seemed,",",1
afterwards,",",1
ascertained,EOS,1
natural,",",2
independent,the,1
supplies,",",1
taught,the,1
'the,EOS,1
myth,the,1
also,.,1
number,",",2
sense,EOS,1
two,of,1
either,",",1
?,",",3
at,",",4
mode,the,1
familiar,and,1
precise,the,1
try,the,1
this,and,3
creature,EOS,1
man,and,1
admit,and,2
higher,the,1
no,EOS,3
times,",",1
take,the,1
up,EOS,2
against,.,1
either,and,1
ordinary,",",1
work,the,1
attained,the,1
without,and,1
effort,EOS,1
ever,of,1
tendencies,",",1
operations,of,1
for,of,5
most,",",1
unnoticed,and,1
us,the,3
mind,of,1
one,the,5
healer,EOS,1
bodily,and,1
proceed,the,1
by,and,4
matters,and,1
remarked,",",1
companion,the,1
pictures,of,1
manner,EOS,1
citizens,",",2
not,of,6
escape,and,1
do,.,2
',",",8
painted,",",1
eye,.,1
face,",",1
eye,of,1
statue,",",1
make,and,1
middle,of,1
best,EOS,1
artisans,.,1
business,the,2
'but,the,1
our,of,2
enemy,",",1
who,the,5
enemy,the,1
none,",",1
first,",",2
place,.,1
warriors,",",1
'a,the,1
there,",",4
should,",",2
was,of,4
fitted,the,2
at,of,1
then,the,1
but,",",9
remains,the,2
established,of,1
it,",",3
particulars,of,1
education,the,1
your,and,1
states,of,1
',and,2
delphi,the,1
all,the,3
things,the,1
our,and,2
ancestral,the,1
sitting,the,1
sense,",",2
affair,and,1
such,the,2
supreme,of,1
realms,.,1
...,EOS,2
here,and,3
let,the,2
preceded,of,1
thus,EOS,1
spoken,the,1
happiness,",",1
only,EOS,1
well-being,",",1
happiness,and,1
believe,EOS,2
because,EOS,1
enforce,of,2
them,",",2
was,EOS,2
far,the,1
principle,.,2
other,EOS,1
most,.,2
affirmed,the,1
also,the,3
'the,.,1
most,of,1
sacred,",",1
manner,.,1
objection,of,1
designed,of,1
out,EOS,1
that,and,3
traditional,.,1
model,EOS,1
politics,",",2
aristotle,the,1
cities,the,2
hellas,EOS,1
made,the,1
be,and,2
on,EOS,1
secondly,",",1
type,the,1
socrates,the,2
where,the,1
preserves,the,1
animal,of,1
spot,.,1
draw,of,1
watch,the,1
eyes,the,1
lest,and,1
lead,of,1
begin,the,1
definition,of,1
believe,and,1
hold,of,1
good,",",3
tested,the,1
virtue,EOS,1
sought,the,1
relation,",",1
parts,of,1
another,of,1
reason,EOS,1
has,EOS,1
found,the,1
definition,the,1
here,",",1
given,and,1
charmides,of,1
afterwards,EOS,1
remaining,",",1
over,and,1
other,of,2
eliminated,the,1
with,EOS,3
temperance,the,1
sort,of,1
respect,EOS,1
an,",",2
one,and,1
conception,of,1
whole,",",1
relative,.,1
parts,the,1
individual,the,2
applied,",",1
same,and,1
'the,the,1
me,the,2
form,the,2
hunger,the,1
arises,",",1
new,and,1
drink,",",1
warm,of,1
course,and,1
implies,the,2
having,the,1
original,the,1
thirst,the,1
principle,and,2
found,.,1
reason,the,1
desire,the,1
convince,EOS,1
man,.,2
undergoes,of,1
reason,",",2
bidding,the,1
within,the,1
classes,",",1
will,EOS,7
each,",",1
influence,the,1
music,EOS,1
already,and,1
already,the,1
inferior,EOS,1
opposite,EOS,1
inharmonious,of,1
being,of,1
body,.,1
bad,.,1
form,EOS,1
virtue,of,1
describing,",",1
two,",",1
--,of,4
monarchy,the,1
but,EOS,2
step,the,2
terms,.,1
warm,the,1
implies,and,1
drinking,of,1
this,",",2
distinct,.,1
reason,.,1
suppose,.,1
allow,and,1
'angry,",",1
two,the,1
confused,of,2
one,",",8
clearing,the,1
faculties,EOS,1
spirit,",",1
nearly,",",1
approaches,EOS,1
compare,",",1
sophist,the,1
),the,4
sketch,the,1
such,EOS,1
revelation,",",1
put,of,1
preliminary,",",1
sciences,the,2
beyond,EOS,1
limits,and,1
human,the,3
reached,the,1
'moving,.,1
about,the,3
although,of,1
minds,.,1
others,",",1
steps,of,1
forward,",",1
any,of,3
system,the,1
most,and,1
elementary,the,1
going,EOS,1
second,and,1
truth,of,1
murderer,",",1
case,",",1
us,of,1
acquit,of,1
you,",",5
held,and,1
from,and,2
guardians,",",1
state,of,2
we,of,1
have,",",3
same,the,1
employments,the,1
must,of,2
gymnastics,",",1
art,.,1
able,and,1
employments,of,1
difficulty,.,1
women,the,1
aptitude,",",1
chosen,of,1
i,and,2
meant,of,1
trouble,.,1
proving,EOS,1
stratagem,the,1
i,the,4
even,and,1
submit,",",1
ministers,and,1
obey,the,1
physicians,of,1
often,of,1
strong,.,1
about,.,1
enclosure,the,1
certain,of,1
part,",",1
suitable,EOS,1
places,EOS,1
unknown,the,1
prime,EOS,1
from,the,1
speed,EOS,1
greatest,",",1
from,of,4
ages,and,1
partakes,and,1
times,of,1
prove,",",1
scheme,",",1
advantageous,of,1
consistent,and,1
entire,the,1
unity,the,1
where,and,1
members,the,1
if,",",1
citizen,of,1
touched,.,1
hurt,",",1
through,the,2
soul,of,2
has,the,2
subjects,and,1
other,the,4
called,and,1
termed,the,2
paymasters,the,1
fathers,.,1
an,EOS,1
elder,EOS,1
from,EOS,2
on,and,1
kindred,the,1
he,the,9
cowards,.,1
husbandmen,.,1
such,and,1
maintain,.,1
objects,of,1
every,.,1
these,",",2
class,.,1
sounds,and,1
their,and,4
true,the,4
justice,EOS,1
what,of,1
knowledge,and,1
thing,",",1
riddle,the,1
man,EOS,3
did,EOS,1
shoot,the,1
stone,of,1
morgenstern,",",1
reserved,EOS,1
style,",",1
added,the,2
plato,",",2
months,",",1
difficulties,",",1
perceive,the,1
answer,",",1
out,the,3
at,and,2
feet,.,1
were,",",2
through,and,1
chaos,",",1
seems,.,1
confused,EOS,1
perception,of,1
opinion,EOS,1
distinguish,the,1
contingent,of,1
arrogance,EOS,1
god,the,1
jealousy,",",1
an,of,2
admission,",",1
kings,of,1
ship,the,1
shoulders,the,1
little,and,1
rather,.,1
want,the,1
they,EOS,1
joins,EOS,1
pilot,",",1
conception,the,1
stars,of,1
like,",",2
would,and,2
parable,",",1
interpret,and,1
those,of,1
gentlemen,the,1
who,of,2
philosopher,of,1
use,.,1
philosopher,the,2
turn,",",1
view,of,1
see,",",3
rogues,",",1
causes,of,1
tend,",",1
these,.,1
!,of,1
world,and,2
monster,of,1
flatter,",",1
meaning,the,1
lighten,of,1
spoil,the,1
?,EOS,3
deserted,the,1
enter,",",1
her,of,2
vile,and,1
nature,",",1
'they,of,1
philosophers,of,1
politics,and,1
thinking,the,2
oracular,the,1
too,the,1
rare,EOS,1
few,",",1
thieves,the,1
wild,the,1
beasts,the,1
stand,",",1
under,and,1
preserve,and,1
own,of,1
depart,the,1
proper,.,1
needed,and,1
perhaps,of,1
occasionally,.,1
philosophy,and,2
'you,of,1
earnest,.,1
than,the,2
thrasymachus,EOS,1
happiness,.,1
image,.,1
angry,.,1
lover,",",1
admit,of,1
still,of,2
pacified,",",1
mood,the,1
reach,.,1
compare,EOS,1
shines,and,1
cause,",",2
author,the,1
being,EOS,1
power,.,1
graces,",",1
beautiful,the,1
ancient,",",1
sees,of,1
can,",",2
sufficient,.,1
mill,the,1
while,and,1
cases,",",1
wholly,",",1
for,and,4
philosophers,the,1
expectation,the,1
no,the,3
allegory,the,1
inventive,and,1
powers,the,1
corrupting,the,1
truth,.,2
community,",",1
corrupted,of,1
politics,the,1
lower,EOS,1
possession,the,2
know,.,1
conceives,EOS,1
method,and,1
steps,and,1
thought,EOS,1
entertaining,the,1
such,",",1
meaning,",",1
sufficiently,and,1
hegel,",",1
bacon,of,1
himself,",",1
figure,of,1
modern,and,1
precede,of,1
his,",",3
begins,",",1
hand,the,1
preparation,",",1
relation,of,1
between,the,2
really,.,1
(,.,2
mathematics,.,2
figure,.,1
consistency,.,1
universality,and,1
us,and,1
yet,the,1
off,.,1
divine,of,1
yet,.,1
conceived,the,1
longer,",",1
3,",",1
hypothetical,and,1
science,of,1
like,of,3
told,and,1
could,the,1
been,of,2
along,EOS,1
path,.,1
instinct,of,1
soul,the,2
satisfied,of,1
were,and,1
generation,the,1
variance,and,1
aspects,",",1
personal,.,1
masculine,",",1
neuter,of,1
being,",",2
philosophy,of,1
sought,EOS,1
would,the,2
recognized,",",1
own,",",1
thoughts,and,1
himself,.,1
retain,",",1
was,the,1
probably,the,1
between,",",3
fire,and,1
prisoners,",",1
low,.,1
wall,the,2
along,and,1
way,and,1
puppets,",",1
images,the,1
names,of,1
shadows,the,1
suppose,of,1
now,and,1
round,and,1
look,the,1
with,the,2
pain,.,1
grief,",",1
all,EOS,2
gives,",",1
cut,of,1
leaden,.,1
desire,.,1
intelligence,",",1
turned,of,2
meaner,",",1
eyes,and,1
with,and,1
far,EOS,1
better,.,1
dream,",",1
yours,the,1
philosopher,",",2
least,.,1
necessity,the,1
him,EOS,1
live,",",1
partakers,the,1
agamemnon,of,1
count,of,1
number,the,2
how,EOS,1
pretty,EOS,1
motion,and,1
puzzled,the,1
order,the,1
whether,and,1
thinking,of,1
arise,of,1
required,the,1
well,",",1
military,the,1
retained,EOS,1
concerned,the,2
truth,and,1
abstractions,.,1
denies,the,1
unit,the,1
shall,",",2
necessary,",",1
husbandry,.,1
like,the,3
order,.,1
take,",",2
backward,",",1
insert,.,1
planes,",",1
star-gazing,and,1
just,",",1
up,of,2
lie,",",1
land,EOS,1
water,of,1
look,of,1
heavens,and,2
copy,of,1
short,the,2
original,EOS,1
absolute,the,1
their,",",2
pursued,",",1
study,EOS,1
withdrawing,.,1
arrives,and,1
very,and,1
intellectual,of,1
dear,.,1
follow,the,1
human,",",1
true,.,1
being,and,2
dialectic,the,1
principle,",",1
hypotheses,",",1
gently,and,1
barbarous,",",1
ignorance,",",1
into,of,2
sciences,",",1
name,",",1
clearness,the,1
than,and,2
clearness,EOS,1
previous,.,1
sketch,EOS,1
latter,the,1
dare,the,1
forgotten,of,1
process,",",1
step,.,1
good-looking,and,1
improve,of,1
retentive,and,1
solid,and,1
combine,",",1
intellectual,.,1
virtues,the,1
one-sided,EOS,1
mind,the,4
falsehood,.,1
yet,",",1
always,of,1
person,the,1
just,EOS,1
allow,EOS,1
time,of,1
gymnastics,EOS,1
five,the,1
down,the,1
life,EOS,1
shall,the,2
blest,EOS,1
oracle,and,1
mere,.,1
may,and,1
come,the,1
when,of,2
philosopher-kings,of,1
servants,the,1
justice,.,1
stars,.,1
reflections,the,1
parent,of,1
light,",",1
warmth,",",1
growth,",",1
desires,the,1
faculty,the,1
seeing,and,1
until,of,1
combine,of,1
disengaged,the,1
perceiving,the,1
basis,the,1
language,and,1
appreciated,of,1
saw,and,1
it,of,1
geometry,the,1
distant,the,1
way,",",1
working,",",1
more,and,2
general,",",1
analysis,of,1
still,EOS,1
sciences,EOS,1
hardly,and,2
say,the,1
another,the,1
idea,EOS,1
stage,and,1
physical,.,1
error,the,1
adaptation,",",1
remark,.,1
old,",",1
pythagorean,the,1
still,the,1
speech,",",1
ourselves,EOS,1
colour,the,1
distance,",",1
sensation,the,1
them,EOS,2
proposes,.,1
art,EOS,1
knowledge,.,1
import,the,1
relation,.,1
confuse,the,1
whom,of,2
describe,",",1
intervals,EOS,1
den,and,1
narrow,",",1
law,EOS,1
(,EOS,2
theaetetus,",",1
eternal,the,1
influence,EOS,1
minds,the,1
return,EOS,1
lower,and,1
lower,the,1
left,the,1
symposium,",",1
fall,of,1
'at,of,1
first,of,2
novelty,of,1
notion,",",1
can,the,2
nothing,and,1
resolution,of,1
substantial,.,1
passage,",",1
believed,.,1
adeimantus,",",1
interrupted,and,1
you,.,2
led,EOS,1
know,the,1
constitutions,EOS,1
last,the,1
compared,the,1
shall,EOS,1
whether,",",1
own,EOS,1
began,of,1
beginning,",",1
timocracy,the,1
other,.,1
base,of,1
number,and,2
hundred,and,2
times,.,1
(,",",1
second,the,1
squares,of,1
diameter,of,1
figure,",",1
side,EOS,1
five,EOS,1
subtracting,",",1
entire,of,1
law,and,2
generation,of,1
war,",",1
over,",",2
among,.,1
extravagant,of,1
get,and,1
save,",",1
gold,",",1
pleasures,of,1
away,the,1
father,the,2
education,of,1
arm,the,1
party,the,1
ambition,and,1
avaricious,",",1
lost,EOS,1
saviour,EOS,1
whereas,",",1
sting,the,1
whom,the,1
call,of,1
drones,EOS,1
stings,.,1
words,the,2
change,",",1
latter,",",1
ways,of,1
father,EOS,1
perhaps,.,1
sees,",",1
'fallen,",",1
victim,of,1
enthroned,EOS,1
lord,the,1
assumes,EOS,1
great,the,1
elements,and,1
sit,of,1
absorbed,EOS,1
rest,EOS,1
image,of,1
never,of,1
lead,",",1
desires,and,1
often,the,1
property,and,1
rights,the,1
citizenship,.,1
against,of,1
new,of,1
charm,.,1
let,of,1
war,and,1
make,the,1
peace,the,1
called,the,1
law,",",1
even,of,3
animals,the,1
on,.,1
men,EOS,2
ruin,",",1
democracy,the,2
contraries,the,1
slavery,the,1
protector,.,1
exiles,.,1
others,and,2
tyrant,",",3
never,.,1
if,EOS,1
do,",",1
smiles,the,1
angry,",",1
strong,EOS,1
'you,the,1
simpler,",",1
nature,.,1
stead,the,1
cretan,",",1
oligarchy,",",1
rather,and,1
sicilian,the,1
states,EOS,1
tyranny,",",1
athens,EOS,1
passion,",",1
were,.,1
two,and,1
said,",",1
difficulties,and,1
republic,the,1
acquainted,",",1
number,EOS,1
make,",",1
8000.,the,1
explanation,of,1
spartan,EOS,1
nearly,and,1
concerns,.,1
city,.,1
disappearance,",",1
cause,the,1
'terms,the,1
'notes,",",1
'intervals,the,1
music,of,1
figure,EOS,1
donaldson,of,1
equalled,and,1
'by,the,1
involution,",",1
evolution,the,1
power,EOS,1
cubed,of,1
18,and,1
than,of,1
16,the,1
21,the,1
8,.,1
27,the,1
translated,and,1
greek,the,1
describing,of,1
precision,of,1
'square,of,1
i.e,and,1
greek,of,1
=,EOS,1
'rational,of,1
i.e,EOS,1
remember,",",1
4,and,1
cubed,",",1
squared,the,1
4,the,1
admit,",",1
numbers,",",1
square,the,1
must,and,1
expression,EOS,1
),EOS,1
harmony,",",1
400/9,and,1
2,",",1
nor,and,2
incommensurables,",",1
arbitrarily,EOS,1
sense,.,1
base,the,1
it,EOS,1
5,",",1
useless,",",1
number,.,1
5040,the,1
utilitarian,",",1
grounds,EOS,1
number,of,1
up,and,1
'true,and,1
irregular,and,1
son,and,1
who,EOS,1
encouraged,of,1
expensive,and,1
fine,EOS,1
entertain,",",1
youth,the,1
lawless,of,1
regular,of,1
successive,the,1
madness,EOS,1
nature,EOS,1
how,of,1
live,and,1
borrows,",",1
ravens,and,1
crying,the,1
mother,.,1
burglar,",",1
temple,.,1
state,EOS,1
likely,of,1
confusion,",",1
very,.,1
sorrow,the,1
sorrows,of,1
miserable,.,1
tyrant,of,1
passions,of,1
indulge,of,1
living,and,1
indoors,EOS,1
woman,EOS,1
first,and,2
despise,the,1
knowledge,of,1
other,and,1
rest,",",1
cessation,.,1
pain,the,1
hunger,of,1
body,",",3
food,",",1
knowledge,EOS,1
those,",",1
feast,the,1
food,.,1
random,and,1
again,EOS,2
into,.,1
upper,EOS,1
taste,",",1
full,the,1
sensuality,and,1
ready,the,1
kill,of,1
principles,",",1
parts,EOS,1
soul,",",1
nearest,EOS,1
:,the,2
beyond,the,1
inferiority,the,1
figure,and,1
saying,the,1
beginning,of,1
discussion,of,1
man,the,1
noblest,the,1
himself,and,1
meanness,.,1
spirited,and,1
habituated,EOS,1
honours,of,1
proved,and,1
pleasures,the,1
pleasures,EOS,1
also,and,1
between,of,1
unnecessary,and,1
observes,",",1
further,.,1
class,",",1
'wild,.,1
beast,EOS,1
corresponding,the,1
proclaiming,and,1
invents,and,1
give,and,1
human,EOS,1
life,.,1
intended,of,1
intimate,of,1
year,.,1
12,.,1
simple,and,1
two,EOS,2
similar,",",1
effected,of,1
comparison,",",1
cubes,of,1
seems,and,1
convinced,of,1
character,the,1
lo,EOS,1
!,.,1
gods,the,3
has,",",1
many,",",1
points,.,1
view,and,1
caught,.,1
represents,.,1
deceive,",",1
children,the,1
say,of,1
going,.,1
medicine,and,1
any,",",1
refer,.,1
thrice,the,1
image-maker,and,1
please,.,1
inform,",",1
received,",",1
attributed,and,1
anacharsis,the,1
homeric,",",1
pythagorean,of,1
instructed,the,1
after,and,1
had,.,1
appearance,",",1
faith,the,1
him,",",1
know,EOS,1
neither,",",2
can,.,1
voluntary,.,1
involuntary,of,1
present,the,1
experience,the,1
pain,of,1
would,",",1
lead,.,1
sorrow,of,1
enjoin,of,1
patience,the,1
know,",",1
human,of,1
while,the,1
furnishes,and,1
chief,of,1
materials,EOS,1
buffoonery,EOS,1
ashamed,of,1
utter,.,1
buffoon,",",1
therefore,of,1
encomiasts,.,1
educator,of,1
regulated,EOS,1
expelling,the,1
should,the,1
charge,and,1
apology,and,1
introduces,and,1
constitution,",",1
mighty,EOS,1
issue,",",1
stake,",",1
evil,EOS,1
soul,EOS,1
rewards,of,1
'and,",",1
conceive,.,1
'surely,the,1
soul,and,1
disease,and,1
exist,of,1
perhaps,and,1
although,",",1
great,.,1
breaks,.,1
down,and,1
reaches,EOS,1
slinks,EOS,1
end,EOS,1
after,EOS,1
said,of,1
chasms,of,1
near,.,1
earth,of,1
corresponding,and,1
heaven,the,1
souls,",",1
after,",",1
judgment,",",1
travel-stained,and,1
heaven,and,1
something,.,1
ardiaeus,EOS,1
had,of,2
elder,and,1
before,",",1
greatest,the,1
ascending,EOS,1
lest,the,1
hear,the,1
voice,EOS,1
column,",",1
were,of,1
heaven,.,1
hung,",",1
spindle,of,1
whole,the,1
revolving,",",1
inner,the,1
were,EOS,1
opposite,of,1
various,",",1
swiftness,",",1
after,.,1
speaking,and,1
thus,of,1
lots,EOS,1
one,EOS,1
lot,of,1
come,and,1
his,of,2
life,and,1
citizen,the,1
habit,",",1
genius,of,1
noble,EOS,1
modern,EOS,1
should,.,1
expression,.,1
forms,and,1
sense,of,1
indulgence,",",1
feelings,.,1
asks,and,1
prophet,the,1
convince,",",1
men,of,1
fallibility,the,1
real,.,1
minds,",",1
subjectiveness,of,1
because,the,1
like,and,1
difficulty,",",1
seeing,EOS,1
illusion,the,1
horse,and,1
bed,of,1
etc,the,1
departments,",",1
knowledge,the,1
rhetoricians,the,1
prophets,of,1
despotism,",",1
